reg_address,reg_name,bitwidth,initial_value,cons_min,cons_max
0x0000,reg_image_width,16,64,1,4096
0x0004,reg_image_height,16,64,1,4096
0x0008,reg_win_size_thresh_0,8,16,0,255
0x000c,reg_win_size_thresh_1,8,24,0,255
0x0010,reg_win_size_thresh_2,8,32,0,255
0x0014,reg_win_size_thresh_3,8,40,0,255
0x0018,reg_win_size_clip_y_0,8,15,0,255
0x001c,reg_win_size_clip_y_1,8,23,0,255
0x0020,reg_win_size_clip_y_2,8,31,0,255
0x0024,reg_win_size_clip_y_3,8,39,0,255
0x0028,reg_win_size_clip_sft_0,4,2,0,15
0x002c,reg_win_size_clip_sft_1,4,2,0,15
0x0030,reg_win_size_clip_sft_2,4,2,0,15
0x0034,reg_win_size_clip_sft_3,4,2,0,15
0x0038,reg_blending_ratio_0,8,32,0,64
0x003c,reg_blending_ratio_1,8,32,0,64
0x0040,reg_blending_ratio_2,8,32,0,64
0x0044,reg_blending_ratio_3,8,32,0,64
0x0048,reg_edge_protect,8,32,0,64
